accuracy,coeff,comb,dataset
0.7443006777572396,coeff_best,"comb_2.0, 2.0, 1.5, 1.0, 1.0, 1.5",IEMO
0.7362908194701171,coeff_best,"comb_1.5, 1.5, 2.0, 1.5, 1.0, 1.0",IEMO
0.74060382008626,coeff_best,"comb_2.0, 2.0, 2.0, 0.5, 0.5, 1.0",IEMO
0.7443006777572396,coeff_best,"comb_1.0, 1.0, 1.5, 0.5, 0.5, 1.0",IEMO
0.7430683918669131,coeff_best,"comb_1.5, 2.0, 0.5, 0.5, 0.5, 1.0",IEMO
0.7387553912507702,coeff_best,"comb_2.0, 2.0, 2.0, 1.5, 1.0, 1.0",IEMO
0.7362908194701171,coeff_best,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 2.0",IEMO
0.7387553912507702,coeff_best,"comb_2.0, 2.0, 1.5, 1.0, 2.0, 2.0",IEMO
0.7393715341959335,coeff_best,"comb_1.5, 1.5, 2.0, 1.0, 2.0, 2.0",IEMO
0.7393715341959335,coeff_best,"comb_1.5, 2.0, 0.5, 1.0, 1.0, 1.5",IEMO
0.7412199630314233,coeff_best,"comb_2.0, 2.0, 2.0, 1.0, 2.0, 2.0",IEMO
0.7443006777572396,coeff_best,"comb_2.0, 2.0, 1.5, 0.5, 0.5, 1.0",IEMO
0.7424522489217499,coeff_best,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 1.5",IEMO
0.7393715341959335,coeff_best,"comb_2.0, 2.0, 1.5, 1.0, 1.0, 2.0",IEMO
0.7424522489217499,coeff_best,"comb_1.5, 2.0, 0.5, 1.0, 2.0, 2.0",IEMO
0.7412199630314233,coeff_best,"comb_1.5, 2.0, 0.5, 1.5, 1.0, 1.0",IEMO
0.7393715341959335,coeff_best,"comb_1.5, 1.5, 2.0, 1.0, 1.0, 1.5",IEMO
0.7412199630314233,coeff_best,"comb_1.5, 1.5, 2.0, 1.0, 1.0, 2.0",IEMO
0.74060382008626,coeff_best,"comb_2.0, 2.0, 1.5, 1.5, 1.0, 1.0",IEMO
0.7399876771410967,coeff_best,"comb_2.0, 2.0, 2.0, 1.0, 1.0, 1.5",IEMO
0.7393715341959335,coeff_best,"comb_1.0, 1.0, 1.5, 1.5, 1.0, 1.0",IEMO
0.7393715341959335,coeff_best,"comb_1.5, 1.5, 2.0, 0.5, 0.5, 1.0",IEMO
0.7369069624152803,coeff_best,"comb_1.0, 1.0, 1.5, 1.0, 2.0, 2.0",IEMO
0.7418361059765866,coeff_best,"comb_1.5, 2.0, 0.5, 1.0, 1.0, 2.0",IEMO
0.7387553912507702,coeff_best,"comb_2.0, 2.0, 2.0, 1.0, 1.0, 2.0",IEMO
