accuracy,coeff,comb,dataset
0.6758620689655173,coeff_best,"comb_2.0, 2.0, 2.0, 1.5, 1.5, 1.5",MELD
0.674712643678161,coeff_best,"comb_2.0, 2.0, 1.5, 1.5, 2.0, 1.0",MELD
0.674712643678161,coeff_best,"comb_2.0, 2.0, 1.0, 1.5, 2.0, 1.0",MELD
0.6743295019157088,coeff_best,"comb_2.0, 2.0, 1.0, 1.5, 1.5, 1.5",MELD
0.674712643678161,coeff_best,"comb_2.0, 2.0, 1.5, 1.0, 2.0, 1.0",MELD
0.674712643678161,coeff_best,"comb_2.0, 2.0, 1.5, 1.5, 1.5, 1.5",MELD
0.6762452107279694,coeff_best,"comb_2.0, 2.0, 1.0, 2.0, 2.0, 1.5",MELD
0.6743295019157088,coeff_best,"comb_2.0, 1.5, 2.0, 1.0, 1.5, 1.5",MELD
0.674712643678161,coeff_best,"comb_2.0, 2.0, 1.5, 2.0, 2.0, 1.5",MELD
0.6743295019157088,coeff_best,"comb_2.0, 1.5, 2.0, 1.5, 1.5, 1.5",MELD
0.6743295019157088,coeff_best,"comb_2.0, 1.0, 2.0, 1.0, 1.5, 1.5",MELD
0.6754789272030651,coeff_best,"comb_2.0, 2.0, 2.0, 2.0, 2.0, 1.5",MELD
0.6754789272030651,coeff_best,"comb_2.0, 2.0, 1.0, 1.0, 1.5, 1.5",MELD
0.6754789272030651,coeff_best,"comb_2.0, 1.0, 2.0, 2.0, 2.0, 1.5",MELD
0.675095785440613,coeff_best,"comb_2.0, 2.0, 1.0, 1.0, 2.0, 1.0",MELD
0.674712643678161,coeff_best,"comb_2.0, 2.0, 1.5, 1.0, 1.5, 1.5",MELD
0.674712643678161,coeff_best,"comb_2.0, 1.0, 2.0, 1.0, 2.0, 1.0",MELD
0.6758620689655173,coeff_best,"comb_2.0, 2.0, 2.0, 1.0, 2.0, 1.0",MELD
0.6739463601532567,coeff_best,"comb_2.0, 1.5, 2.0, 1.0, 2.0, 1.0",MELD
0.6758620689655173,coeff_best,"comb_2.0, 2.0, 2.0, 1.5, 2.0, 1.0",MELD
0.675095785440613,coeff_best,"comb_2.0, 1.5, 2.0, 1.5, 2.0, 1.0",MELD
0.6754789272030651,coeff_best,"comb_2.0, 2.0, 2.0, 1.0, 1.5, 1.5",MELD
0.675095785440613,coeff_best,"comb_2.0, 1.0, 2.0, 1.5, 2.0, 1.0",MELD
0.674712643678161,coeff_best,"comb_2.0, 1.0, 2.0, 1.5, 1.5, 1.5",MELD
0.675095785440613,coeff_best,"comb_2.0, 1.5, 2.0, 2.0, 2.0, 1.5",MELD
