accuracy,coeff,comb,dataset
0.7393715341959335,coeff_ce,"comb_1.0, 2.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.7369069624152803,coeff_ce,"comb_1.0, 0.5, 0.5, 1.0, 1.0, 1.0",IEMO
0.7418361059765866,coeff_ce,"comb_2.0, 2.0, 2.0, 1.0, 1.0, 1.0",IEMO
0.7412199630314233,coeff_ce,"comb_1.5, 1.5, 0.5, 1.0, 1.0, 1.0",IEMO
0.7399876771410967,coeff_ce,"comb_2.0, 2.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.7369069624152803,coeff_ce,"comb_1.5, 0.5, 0.5, 1.0, 1.0, 1.0",IEMO
0.738139248305607,coeff_ce,"comb_0.5, 1.0, 0.5, 1.0, 1.0, 1.0",IEMO
0.7399876771410967,coeff_ce,"comb_0.5, 1.5, 2.0, 1.0, 1.0, 1.0",IEMO
0.7399876771410967,coeff_ce,"comb_2.0, 1.5, 1.5, 1.0, 1.0, 1.0",IEMO
0.738139248305607,coeff_ce,"comb_1.5, 0.5, 2.0, 1.0, 1.0, 1.0",IEMO
0.7362908194701171,coeff_ce,"comb_1.5, 1.0, 1.5, 1.0, 1.0, 1.0",IEMO
0.7418361059765866,coeff_ce,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 1.0",IEMO
0.7443006777572396,coeff_ce,"comb_2.0, 2.0, 1.5, 1.0, 1.0, 1.0",IEMO
0.7375231053604436,coeff_ce,"comb_1.0, 1.0, 2.0, 1.0, 1.0, 1.0",IEMO
0.7350585335797906,coeff_ce,"comb_1.5, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.7387553912507702,coeff_ce,"comb_1.5, 1.0, 2.0, 1.0, 1.0, 1.0",IEMO
0.7356746765249538,coeff_ce,"comb_2.0, 0.5, 1.5, 1.0, 1.0, 1.0",IEMO
0.7387553912507702,coeff_ce,"comb_1.5, 1.5, 1.5, 1.0, 1.0, 1.0",IEMO
0.7387553912507702,coeff_ce,"comb_0.5, 0.5, 1.5, 1.0, 1.0, 1.0",IEMO
0.7399876771410967,coeff_ce,"comb_0.5, 1.0, 1.5, 1.0, 1.0, 1.0",IEMO
0.7393715341959335,coeff_ce,"comb_1.0, 0.5, 2.0, 1.0, 1.0, 1.0",IEMO
0.74060382008626,coeff_ce,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.74060382008626,coeff_ce,"comb_2.0, 1.5, 1.0, 1.0, 1.0, 1.0",IEMO
0.7418361059765866,coeff_ce,"comb_1.5, 1.5, 2.0, 1.0, 1.0, 1.0",IEMO
0.7387553912507702,coeff_ce,"comb_1.5, 2.0, 2.0, 1.0, 1.0, 1.0",IEMO
0.7369069624152803,coeff_ce,"comb_2.0, 1.0, 2.0, 1.0, 1.0, 1.0",IEMO
0.7443006777572396,coeff_ce,"comb_1.5, 2.0, 0.5, 1.0, 1.0, 1.0",IEMO
0.738139248305607,coeff_ce,"comb_0.5, 0.5, 1.0, 1.0, 1.0, 1.0",IEMO
0.7338262476894639,coeff_ce,"comb_2.0, 0.5, 0.5, 1.0, 1.0, 1.0",IEMO
0.7362908194701171,coeff_ce,"comb_2.0, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.738139248305607,coeff_ce,"comb_1.0, 0.5, 1.5, 1.0, 1.0, 1.0",IEMO
0.7393715341959335,coeff_ce,"comb_0.5, 1.5, 1.0, 1.0, 1.0, 1.0",IEMO
0.7418361059765866,coeff_ce,"comb_0.5, 1.5, 1.5, 1.0, 1.0, 1.0",IEMO
0.7418361059765866,coeff_ce,"comb_1.0, 1.5, 2.0, 1.0, 1.0, 1.0",IEMO
0.7418361059765866,coeff_ce,"comb_0.5, 1.5, 0.5, 1.0, 1.0, 1.0",IEMO
0.7350585335797906,coeff_ce,"comb_2.0, 0.5, 1.0, 1.0, 1.0, 1.0",IEMO
0.7399876771410967,coeff_ce,"comb_1.0, 1.5, 1.5, 1.0, 1.0, 1.0",IEMO
0.7344423906346272,coeff_ce,"comb_2.0, 1.0, 1.5, 1.0, 1.0, 1.0",IEMO
0.7418361059765866,coeff_ce,"comb_0.5, 2.0, 0.5, 1.0, 1.0, 1.0",IEMO
0.74060382008626,coeff_ce,"comb_1.0, 1.5, 0.5, 1.0, 1.0, 1.0",IEMO
0.7418361059765866,coeff_ce,"comb_1.0, 2.0, 0.5, 1.0, 1.0, 1.0",IEMO
0.7344423906346272,coeff_ce,"comb_1.5, 0.5, 1.0, 1.0, 1.0, 1.0",IEMO
0.7436845348120764,coeff_ce,"comb_2.0, 1.5, 2.0, 1.0, 1.0, 1.0",IEMO
0.7412199630314233,coeff_ce,"comb_1.5, 2.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.7369069624152803,coeff_ce,"comb_0.5, 0.5, 2.0, 1.0, 1.0, 1.0",IEMO
0.74060382008626,coeff_ce,"comb_1.0, 2.0, 2.0, 1.0, 1.0, 1.0",IEMO
0.7399876771410967,coeff_ce,"comb_2.0, 0.5, 2.0, 1.0, 1.0, 1.0",IEMO
0.7387553912507702,coeff_ce,"comb_1.0, 1.5, 1.0, 1.0, 1.0, 1.0",IEMO
0.7412199630314233,coeff_ce,"comb_1.5, 1.5, 1.0, 1.0, 1.0, 1.0",IEMO
0.7350585335797906,coeff_ce,"comb_1.5, 1.0, 0.5, 1.0, 1.0, 1.0",IEMO
0.7387553912507702,coeff_ce,"comb_0.5, 1.0, 2.0, 1.0, 1.0, 1.0",IEMO
0.7393715341959335,coeff_ce,"comb_0.5, 2.0, 1.5, 1.0, 1.0, 1.0",IEMO
0.7369069624152803,coeff_ce,"comb_2.0, 1.0, 0.5, 1.0, 1.0, 1.0",IEMO
0.7387553912507702,coeff_ce,"comb_1.5, 0.5, 1.5, 1.0, 1.0, 1.0",IEMO
0.738139248305607,coeff_ce,"comb_0.5, 2.0, 2.0, 1.0, 1.0, 1.0",IEMO
0.7375231053604436,coeff_ce,"comb_2.0, 2.0, 0.5, 1.0, 1.0, 1.0",IEMO
0.7362908194701171,coeff_ce,"comb_1.0, 1.0, 0.5, 1.0, 1.0, 1.0",IEMO
0.7350585335797906,coeff_ce,"comb_1.0, 0.5, 1.0, 1.0, 1.0, 1.0",IEMO
0.7393715341959335,coeff_ce,"comb_0.5, 2.0, 1.0, 1.0, 1.0, 1.0",IEMO
0.7399876771410967,coeff_ce,"comb_0.5, 0.5, 0.5, 1.0, 1.0, 1.0",IEMO
0.7418361059765866,coeff_ce,"comb_1.5, 2.0, 1.5, 1.0, 1.0, 1.0",IEMO
0.7344423906346272,coeff_ce,"comb_2.0, 1.5, 0.5, 1.0, 1.0, 1.0",IEMO
0.7375231053604436,coeff_ce,"comb_1.0, 2.0, 1.5, 1.0, 1.0, 1.0",IEMO
0.7387553912507702,coeff_ce,"comb_0.5, 1.0, 1.0, 1.0, 1.0, 1.0",IEMO
