vid,utter_id,sentence,label
Ses02F_script01_3,0,You're not sorry you came?,2
Ses02F_script01_3,1,"from her point of view, why else would I come?",1
Ses02F_script01_3,2,"You feel it's wrong here, don't you?  This yard, this chair.  I want you to be ready for me.  I don't want to have to win you away from anything.",4
Ses02F_script01_3,3,I almost got married two years ago.,0
Ses02F_script01_3,4,You started to write me and--,0
Ses02F_script01_3,5,Every day since.,0
Ses02F_script01_3,6,I will never forgive you.  Why did you wait all these years?  All I did was sit and wonder if I was crazy for thinking of you.,0
Ses02F_script01_3,7,No.  Nothing like that.,1
Ses02F_script01_3,8,"Then, what's wrong?  I mean, even in your letters there was some--something ashamed.",1
Ses02F_script01_3,9,"Yeah, I suppose I have been.  But it's going from me.",1
Ses02F_script01_3,10,You've gotta tell me.,1
Ses02F_script01_3,11,I don't know how to start.,1
Ses02F_script01_3,12,It wouldn't work this way.,1
Ses02F_script01_3,13,"It's all mixed up with so many other things.  You remember overseas, I was in command of a company?",1
Ses02F_script01_3,14,"Yeah, sure.",1
Ses02F_script01_3,15,"Well, I lost them.",1
Ses02F_script01_3,16,How many?,1
Ses02F_script01_3,17,Just about all.,1
Ses02F_script01_3,18,"Oh, gee.",1
Ses02F_script01_3,19,It takes some time for a guy to toss that off.  'Cause they weren't just men.,1
Ses02F_script01_3,20,"For instance, one time, it had been raining several days and this kid came to me and gave me his last pair of dry socks.  I put them in pocket.  It's only a little thing, but that's the kind of guys I had.",1
Ses02F_script01_3,21,"They didn't die, they killed themselves for each other.  I mean that exactly.  A little more selfish and they'd have been here today.",1
Ses02F_script01_3,22,"I got this idea watching them go down.  Everything was being destroyed, see, but it seemed that there was one new thing being made.  A sort of responsibility.  Man for man.",1
Ses02F_script01_3,23,"You know what I mean?  To show that, to bring that onto the Earth again, like some kind of monument and everyone would feel it standing behind him and it would make a difference to him.",1
Ses02F_script01_3,24,Then I came back and it was incredible.  There was no meaning in it here.  The whole thing to them seemed like sort of a bus accident.  I went to work with Dad and that rat race again.,1
Ses02F_script01_3,25,"And I felt what you said, ashamed somehow 'cause nobody was changed at all.  It seemed to make suckers out of a lot of guys.  I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator.",1
Ses02F_script01_3,26,"I mean, you can take those things out of a war, but when you drive that car, you've gotta know that it came out of the love a man can have for a man.  You've gotta be a little better because of it.",1
Ses02F_script01_3,27,Because otherwise all you have is really loot and there's blood on it.  And I didn't want to take any of it.  And I guess that included you.,1
Ses02F_script01_3,28,You still feel that way?,1
Ses02F_script01_3,29,What'll I do with a fortune?,0
Ses03F_script03_1,0,[BREATHING],2
Ses03F_script03_1,1,Do you think it's them?,2
Ses03F_script03_1,2,"We're all right, aren't we darling? Whatever happens.",2
Ses03F_script03_1,3,Then I don't care.,2
Ses03F_script03_1,4,"things that should matter dreadfully don't seem to matter at all when one's happy, do they?",4
Ses03F_script03_1,5,Don't laugh at me. I'm serious.,4
