Sr No.,Utterance,miss,actual,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
1,Why do all youre coffee mugs have numbers on the bottom?,True,surprise,Mark,surprise,positive,0,0,3,19,"00:14:38,127","00:14:40,378"
2,"Oh. Thats so Monica can keep track. That way if one on them is missing, she can be like, Wheres number 27?!",True,anger,Rachel,anger,negative,0,1,3,19,"00:14:40,629","00:14:47,385"
3,Y'know what?,False,,Rachel,neutral,neutral,0,2,3,19,"00:14:56,353","00:14:57,520"
27,Okay.,False,,Ross,neutral,neutral,2,0,5,16,"00:07:26,446","00:07:27,487"
28,"Ross, didn't you say that there was an elevator in here?",True,joy,Rachel,neutral,neutral,2,1,5,16,"00:07:27,655","00:07:30,574"
29,"Uhh, yes I did but there isn't. Okay, here we go.",True,joy,Ross,sadness,negative,2,2,5,16,"00:07:30,741","00:07:34,119"
30,"Okay, go left. Left! Left!",True,joy,Ross,surprise,negative,2,3,5,16,"00:07:35,413","00:07:37,205"
31,"Okay, y'know what? There is no more left, left!",False,,Rachel,anger,negative,2,4,5,16,"00:07:39,709","00:07:43,128"
32,"Oh okay, lift it straight up over your head!",True,joy,Ross,anger,negative,2,5,5,16,"00:07:43,963","00:07:46,047"
33,Straight up over your head!,True,joy,Ross,anger,negative,2,6,5,16,"0:07:46,215","0:07:47,777"
34,You can do it!,True,joy,Ross,joy,positive,2,7,5,16,"0:07:47,777","0:07:48,648"
35,You can do it!,False,,Ross,joy,positive,2,8,5,16,"00:07:48,759","00:07:50,010"
36,Okay.,False,,Ross,neutral,neutral,2,9,5,16,"0:07:50,178","0:07:51,150"
37,You got it?,False,,Ross,neutral,neutral,2,10,5,16,"0:07:51,150","0:07:52,227"
38,"Oh, okay, I get it.",False,,Steve,neutral,neutral,3,0,5,15,"00:05:59,776","00:06:01,777"
39,"No wait, look. Look! I'm sorry, it's just I've never even",False,,Ross,fear,negative,3,1,5,15,"00:06:02,153","00:06:06,823"
40,Howard's the,True,sadness,Steve,neutral,neutral,3,2,5,15,"00:06:09,660","00:06:12,329"
41,"Yes but too me he's just, man.",True,surprise,Ross,neutral,neutral,3,3,5,15,"00:06:13,414","00:06:17,250"
42,"Okay, fine, whatever. Welcome to the building.",False,,Steve,anger,negative,3,4,5,15,"00:06:17,919","00:06:23,590"
43,"Ugh, can you believe that guy!",True,anger,Ross,disgust,negative,3,5,5,15,"00:06:26,177","00:06:28,178"
44,Yeah. I really like his glasses.,False,,Phoebe,neutral,neutral,3,6,5,15,"00:06:28,346","00:06:30,889"
45,Ohh!,False,,Phoebe,surprise,positive,4,0,4,14,"00:08:42,271","00:08:43,271"
