Label,Correct,Valence,Valence,Valence,Arousal,Arousal,Arousal,Dominance,Dominance,Dominance
,,mean,std,count,mean,std,count,mean,std,count
angry,Correct,1.9000421446384042,0.5266024270729673,802,3.613881795511222,0.7084190128346258,802,3.9524099750623445,0.6478195443930567,802
angry,Incorrect,2.0903320610687026,0.48931253018387943,131,3.5712458015267172,0.5908956249443645,131,3.7175595419847327,0.6605137149660483,131
excited,Correct,3.96649499263623,0.6404571893045008,679,3.6143839469808543,0.6235006120586373,679,3.4457533136966125,0.756677673542198,679
excited,Incorrect,3.9113761904761906,0.6615862606118833,63,3.5542333333333334,0.6383717369339976,63,3.0833349206349205,0.708531534608781,63
frustrated,Correct,2.2923262718932444,0.522371655333495,1199,3.1495682235195996,0.6509769978544985,1199,3.2543789824854046,0.7008644911466232,1199
frustrated,Incorrect,2.2744724907063194,0.593064184617682,269,3.0328371747211897,0.5994191094402456,269,3.2992561338289965,0.7335642446668553,269
happy,Correct,3.9285965811965813,0.4772265611792001,468,3.1071938034188036,0.5953520834603488,468,2.9134608974358978,0.6498300559496049,468
happy,Incorrect,4.037036111111111,0.6069857292522393,36,3.4722222222222223,0.7176907412413036,36,2.800927777777778,0.8654001022189879,36
neutral,Correct,3.0084791666666666,0.48028177334362204,1032,2.742491375968992,0.5226872294021193,1032,2.824532073643411,0.6034058713947994,1032
neutral,Incorrect,2.8900350515463917,0.6000738437963545,291,2.6884309278350513,0.6134693203740271,291,2.813286941580756,0.7086486612837385,291
sad,Correct,2.308290782828283,0.5988214091057792,792,2.5197810606060607,0.6138143832108751,792,2.8918348484848484,0.8072491948912484,792
sad,Incorrect,2.361704255319149,0.5296971230386396,47,2.5638297872340425,0.656218481285302,47,2.705672340425532,0.7733577423783751,47
